Lycoperdon / pyriforme,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / abruptibulbus,,,,,,,,
Agaricus / arvensis,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / augustus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / bitorquis,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / haemorrhoidarius,,,,,,,,
Agaricus / macrosporus,,,,,,,,
Agaricus / placomyces,,,,,,,,
Agaricus / sylvaticus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / silvicola,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / sp.,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agaricus / xanthodermus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agrocybe / aegerita,,,,,,,,
Agrocybe / dura,,,,,,,,
Agrocybe / praecox,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Agrocybe / sphaleromorpha,,,,,,,,
Amanita / citrina,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / eliae,,,,,,,,
Amanita / excelsa,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / fulva,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / gemmata,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / inaurata,,,,,,,,
Amanita / muscaria,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / pantherina,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / phalloides,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / rubescens,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Amanita / spissa,,,,,,,,
Amanita / vaginata,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Amanita / vaginata var.fulva,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basiodiomycota,,
Armallaria / polymyces,,,,,,,,
Armillaria / mellea,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Ascocoryne / sarcoides,Heliotiaceae,Heliotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,,
Astraeus / hygrometricus,Diplocystidiaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Auricularia / auricula-judae,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Auricularia / mesenterica,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Bisporella / citrina,Heliotiaceae,Heliotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,,
Bjerkandera / adusta,,,,,,,,
Bolbitius / vitellinus,,,,,,,,
Boletinus / cavipes,,,,,,,,
Boletus / aereus,,,,,,,,
Boletus / appendiculatus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Boletus / betulicola,,,,,,,,
Boletus / edulis,,,,,,,,
Boletus / erythropus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Boletus / impolitus,,,,,,,,
Boletus / luridus,,,,,,,,
Boletus / parasiticus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
Boletus / queletii,,,,,,,,
Boletus / sp.,,,,,,,,
Bovista / plumbea,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,,
